plot,espnurse,target,N_sob,sob,NHP,HP,NFP,FP,NH1,H1,NF1,F1,NH2,H2,NF2,F2,NH3,H3,NF3,F3,NH4,H4,NF4,F4,NH5,H5,NF5,F5,NH6,H6,NF6,F6,NH7,H7,NF7,F7,NH8,H8,NF8,F8,NH9,H9,NF9,F9
46,jubranca,cating,82,82,24,24,9,2,24,24,8,2,22,28,8,2,20,23,6,1,20,26,7,1,22,24,7,1,19,24,5,1,21,26,0,15,21,24,0,1,19,25,0,0
46,jubranca,aroeira,33,25,25,27,13,8,25,27,12,6,35,24,12,0,34,27,9,3,34,25,0,4,34,26,0,2,34,25,0,0,35,26,0,0,34,25,0,1,34,24,0,0
19,jubranca,angico,82,82,43,37,5,9,43,37,4,9,44,38,3,6,43,35,2,5,-1,37,-1,3,-1,38,-1,1,-1,37,-1,0,-1,38,-1,0,-1,37,-1,0,-1,36,-1,0
19,jubranca,cating,82,82,9,22,4,2,9,22,4,2,9,21,4,2,10,22,3,2,11,22,0,1,13,21,0,1,10,22,0,1,8,22,0,0,-1,22,-1,0,-1,22,-1,0
19,jubranca,aroeira,24,82,32,32,9,16,32,32,9,15,29,31,6,14,30,32,2,6,31,31,2,5,31,31,1,3,31,31,1,3,31,32,1,2,31,32,1,0,31,32,1,0
56,jubranca,angico,60,82,31,38,4,13,31,38,4,14,30,37,4,9,31,39,4,0,29,39,3,0,30,39,2,0,30,38,2,0,30,38,0,0,-1,37,-1,0,-1,-1,-1,-1
56,jubranca,cating,82,82,23,26,4,3,23,26,3,3,18,25,3,3,18,23,3,3,18,25,3,3,19,25,1,3,20,26,1,1,19.5,35,0,0,-1,-1,-1,-1,-1,-1,-1,-1
56,jubranca,aroeira,60,75,35,38,18,11,35,38,17,10,34,35,18,10,38,35,5,1,37,35,2,3,37,35,2,0,37,36,2,0,36,36,2,0,37,-1,0,-1,37,-1,0,-1
70,jubranca,angico,60,60,38,20,16,9,38,20,6,4,36,20,6,3,36,20,6,0,35,20,6,0,36,19,5,0,35,20,2,0,36,20,0,0,-1,-1,-1,-1,-1,-1,-1,-1
70,jubranca,cating,82,82,24,14,1,5,24,14,1,5,25,13,1,3,24,14,1,0,24,13,1,3,24,13,1,2,24,14,1,2,24,13,0,0,25,13,0,0,25,13,0,0
